id,name,price,in_stock,link
4428925,Tortoiseshell Rectangle Glasses,25.95,true,/p/acetate-rectangle-eyeglass-frames/44289?skuId=4428925
4432918,Garnet Spree,29.95,true,/p/spree-eyeglasses/44329?skuId=4432918
112824,Green Premium Square Sunglasses,32.95,true,/p/acetate-square-sunglass-frames/1128?skuId=112824
4427015,Brown Rectangle Glasses,25.95,true,/p/mens-acetate-plastic-rectangle-eyeglass-frames/44270?skuId=4427015
2038725,"Tortoiseshell Caspian 
",39.95,true,/p/remakes-caspian-eyeglasses/20387?skuId=2038725
197415,Brown Rectangle Glasses,27.95,true,/p/mens-halfrim-rectangle-eyeglass-frames/1974?skuId=197415
3229221,Black Aviator Glasses,29.95,true,/p/mens-stainless-steel-aviator-eyeglass-frames/32292?skuId=3229221
730712,Gray Half-Rim Glasses ,9.95,true,/p/stainless-steel-half-rim-frame-with-acetate-temples/7307?skuId=730712
8111016,Teal/Green Glow Glow-in-the-Dark Rectangle Glasses,19.95,true,/p/tr-rectangle-eyeglass-frames/81110?skuId=8111016
4442823,Translucent Square Glasses,29.95,true,/p/acetate-square-eyeglass-frames/44428?skuId=4442823
2039121,"Black Andaman 
",39.95,true,/p/remakes-andaman-eyeglasses/20391?skuId=2039121
3219311,Silver Square Glasses,29.95,true,/p/stainless-steel-square-eyeglass-frames/32193?skuId=3219311
4433321,Black Off the Grid,29.95,true,/p/off-the-grid-eyeglasses/44333?skuId=4433321
744216,Blue Square Prescription Protective Glasses,27.95,true,/p/tr-square-eyeglass-frames/7442?skuId=744216
208523,Translucent Rectangle Glasses,19.95,true,/p/plastic-rectangle-eyeglass-frames/2085?skuId=208523
367515,Brown Rimless Glasses,25.95,true,/p/rimless-stainless-steel-frame/3675?skuId=367515
82022725,Tortoiseshell The Modern,33.95,true,/p/clayster-the-modern-eyeglasses/820227?skuId=82022725
584312,Gray Oval Magnetic Snap-on,19.95,true,/p/metal-alloy-spring-hinge-frame-with-polarized-magnetic-snap-on-sunlens/5843?skuId=584312
4436415,Classic Tortoiseshell Square Glasses,29.95,true,/p/mens-acetate-square-eyeglass-frames/44364?skuId=4436415
7806425,Tortoiseshell Premium Square Sunglasses,29.95,true,/p/square-sunglass-frames/78064?skuId=7806425
7827725,Tortoiseshell  Rectangle Glasses,39.95,true,/p/rectangle-eyeglass-frames/78277?skuId=7827725
679421,Black Browline Glasses,29.95,true,/p/browline-eyeglass-frame/6794?skuId=679421
4422424,Forest Round Glasses,25.95,true,/p/acetate-round-eyeglass-frames/44224?skuId=4422424
3221514,Gold Geometric Glasses,15.95,true,/p/stainless-steel-geometric-eyeglass-frames/32215?skuId=3221514
1911421,Black Rectangle Glasses,32.95,true,/p/mens-rectangle-eyeglass-frames/19114?skuId=1911421
1135511,Silver Premium Aviator Sunglasses,39.95,true,/p/aviator-sunglass-frames/11355?skuId=1135511
1116412,Gray Premium Rectangle Sunglasses,29.95,true,/p/plastic-rectangle-sunglass-frames/11164?skuId=1116412
1911221,Black Unplugged,29.95,true,/p/unplugged-eyeglasses/19112?skuId=1911221
278421,Black Oval Glasses,12.95,true,/p/plastic-full-rim-frame/2784?skuId=278421
461911,Silver Rectangle Glasses,12.95,true,/p/metal-alloy-stainless-steel-half-rim-frame/4619?skuId=461911
830521,Black Rectangle Glasses,12.95,true,/p/stainless-steel-full-rim-frame-with-acetate-temples-same-appearance-as-frame-7305/8305?skuId=830521
321921,Black Browline Glasses,32.95,true,/p/stainless-steel-browline-eyeglass-frames/3219?skuId=321921
463212,Gray Rectangle Glasses,9.95,true,/p/metal-alloy-stainless-steel-half-rim-frame/4632?skuId=463212
7823412,Dune Ombre Cat-Eye Glasses,32.95,true,/p/womens-cat-eye-eyeglass-frames/78234?skuId=7823412
2024621,Black Square Glasses,19.95,true,/p/mens-tr-square-eyeglass-frames/20246?skuId=2024621
1120114,Gold Premium Aviator Sunglasses,39.95,true,/p/metal-aviator-sunglass-frames/11201?skuId=1120114
